,names,scores,logfoldchanges,pvals,pvals_adj
0,RPL37A,52.258892,1.0730757,0.0,0.0
1,RPS29,50.0285,1.0658662,0.0,0.0
2,RPL38,48.90289,1.1235296,0.0,0.0
3,RPL41,47.51783,0.8482498,0.0,0.0
4,RPL36,45.73763,0.9554515,0.0,0.0
5,RPL39,45.57139,0.97283244,0.0,0.0
6,RPS21,45.298634,1.1396893,0.0,0.0
7,RPL37,45.055878,0.91901875,0.0,0.0
8,RPS27,43.86111,0.9081098,0.0,0.0
9,RPS28,43.42142,0.8768055,0.0,0.0
10,TMSB10,41.748684,0.87981474,0.0,0.0
11,RPL34,41.431507,0.79243064,0.0,0.0
12,RPLP2,41.025593,0.8423513,0.0,0.0
13,RPL21,40.26061,0.7535686,0.0,0.0
14,RPL36A,40.258995,0.99256694,0.0,0.0
15,ATP5F1E,39.271427,0.8864841,0.0,0.0
16,RPL35,39.040447,0.7568461,0.0,0.0
17,COX7C,38.894447,0.8029016,0.0,0.0
18,RPLP1,38.8571,0.63479674,0.0,0.0
19,RPL35A,38.76493,0.6828749,0.0,0.0
20,MIF,37.4687,0.7434024,2.9798436588914215e-307,2.199666410018031e-304
21,RPL32,37.03518,0.6267082,3.1109850877422694e-300,2.020895912997378e-297
22,RPS25,36.398533,0.711888,4.4906129758181266e-290,2.804905951049476e-287
23,RPS19,36.279087,0.61436564,3.4580079798022975e-288,2.0799277626662706e-285
24,FAU,35.991398,0.6057106,1.1403657342375883e-283,6.614121258578012e-281
25,RPS12,35.611126,0.60072076,9.423551827378782e-278,5.277189023332118e-275
26,RPS15,35.198486,0.60001,2.10894096775667e-271,1.1048129456893007e-268
27,RPL27,35.180874,0.7879181,3.9214486371692094e-271,1.990135183363374e-268
28,C4orf48,34.889038,0.8772319,1.0901632090668931e-266,5.364924398559498e-264
29,SEC61G,34.54547,1.0622351,1.6668985884865276e-261,7.961892081476827e-259
30,RPL24,34.14254,0.5749313,1.725489659327351e-255,8.006272019278909e-253
31,RPL23A,33.873436,0.7057778,1.6399672229885477e-251,7.19812640576595e-249
32,RPS15A,33.797337,0.597669,2.1580401946011574e-250,9.222782305348104e-248
33,RPL27A,33.69844,0.6224037,6.092694359778011e-249,2.5370604205844847e-246
34,ELOB,33.430115,0.7237666,5.007237044617551e-245,2.032938240114726e-242
35,RPS24,33.37792,0.5855753,2.867396817758843e-244,1.1357688858635027e-241
36,COX7A2,33.09544,0.70229304,3.45665945136543e-240,1.3365749878612995e-237
37,RPL30,32.921085,0.5709939,1.0974237451176974e-237,4.144688749002652e-235
38,ATP5MD,32.877373,0.9137512,4.628929153715012e-237,1.7084956694620864e-234
39,RPL31,32.042015,0.7470232,2.836237181783429e-225,1.001315039829628e-222
40,RPS27A,31.65717,0.48609143,6.042180110260929e-220,2.087766063630585e-217
41,UBA52,31.523928,0.60651493,4.083627884912828e-218,1.3816274343955069e-215
42,RPL23,31.27811,0.6581301,9.262690073770079e-215,3.069920138735226e-212
43,RPL22,31.155796,0.6081457,4.233428738583235e-213,1.3750176542918348e-210
44,RPS13,30.831177,0.55921215,1.0016173229056137e-208,3.0691066649032394e-206
45,TOMM7,30.645594,0.90421,3.025186454201497e-206,9.097968151154132e-204
46,RPL9,30.490528,0.49404833,3.479637705445654e-204,1.027442115207953e-201
47,RPS18,30.437431,0.48678142,1.756980635349019e-203,5.0952438425121555e-201
48,COX6C,30.386198,0.7233754,8.359310436971282e-203,2.340606922351959e-200
49,TPI1,30.364985,0.9504521,1.5933869647994563e-202,4.385865137007317e-200
50,TUBB2B,29.969347,0.45099416,2.4627970343521798e-197,6.450939328690226e-195
51,RPL26,29.860733,0.55137044,6.36942464070874e-196,1.6418961296049198e-193
52,UBL5,29.754366,0.7424899,1.5226688095780137e-194,3.86377210430421e-192
53,RPS10,29.463161,0.96975386,8.53987809011463e-191,2.1013275785372967e-188
54,TUBB2A,29.381618,0.6088317,9.432031168136857e-190,2.286211733888695e-187
55,PGAM1,29.345203,1.0185864,2.7511761942354606e-189,6.570456087409395e-187
56,ATP5ME,29.305426,0.8546583,8.84528096021816e-189,2.0818458375933756e-186
57,RPS16,29.1929,0.5190771,2.3864643149774516e-187,5.5365972107476877e-185
58,RPS23,28.897545,0.50287014,1.281795049427368e-183,2.8911599448195074e-181
59,GAPDH,28.827406,0.5873779,9.728678920640582e-183,2.164297885906891e-180
60,RPS17,28.305357,0.63650155,2.9692000394436384e-176,6.429307818741958e-174
61,UQCR11,28.241943,0.80205965,1.787578016176642e-175,3.770164543208918e-173
62,TMA7,27.808565,0.78154236,3.417371251915066e-170,6.851618411246997e-168
63,RPL28,27.696962,0.4985561,7.595959210512739e-169,1.4862455129967094e-166
64,NDUFA4,27.498516,0.4638228,1.8288126735115282e-166,3.535704502122288e-164
65,RPL11,27.4787,0.42417872,3.155401250678787e-166,6.028672507179235e-164
66,COX7B,27.3999,0.81139636,2.7500736754936345e-165,5.193162382560072e-163
67,PGK1,27.068886,1.0103829,2.2896061052593347e-161,4.2739313964840913e-159
68,RPL18A,26.788515,0.4324377,4.3974586277829e-158,8.024126754516212e-156
69,TMEM258,26.647087,0.840519,1.934322623281318e-156,3.4520219123174294e-154
70,RPS2,26.447577,0.42087722,3.8905966140110916e-154,6.721626490589375e-152
71,RPS20,26.208134,0.6159466,2.1466857397811495e-151,3.631476709796444e-149
72,UQCRB,26.1786,0.63873476,4.6581978285929915e-151,7.7988796635412554e-149
73,RPS11,25.983156,0.48127452,7.677418624279264e-149,1.2594068531140936e-146
74,RPL19,25.963701,0.41768274,1.2734656126418441e-148,2.068108154930355e-146
75,RPS14,25.842152,0.40143195,2.9811133745611714e-147,4.793394178502319e-145
76,SERF2,25.819998,0.6285904,5.288027546683213e-147,8.419369348836802e-145
77,FAM162A,25.778347,1.3532941,1.5512035255383762e-146,2.4457810926935172e-144
78,HIST1H4C,25.644205,1.0929015,4.906749298093509e-145,7.589105581051294e-143
79,EEF1G,25.556587,0.45154533,4.638876684355986e-144,7.107109184334077e-142
80,OST4,25.524467,0.8349608,1.0549711832410478e-143,1.6011899080219266e-141
81,SNHG6,25.423407,0.7927804,1.3899411800551546e-142,2.0900597003792325e-140
82,RPL8,25.420448,0.41267154,1.4987252820190819e-142,2.2329631724761367e-140
83,RPS3A,25.102835,0.3790358,4.631266509294574e-139,6.775834964949899e-137
84,RPL13A,25.067081,0.4169528,1.1371423694085572e-138,1.648856435642408e-136
85,ATP5MPL,24.99661,0.6947977,6.654734777841383e-138,9.563972813464076e-136
86,COX6B1,24.360857,0.5365494,4.448340529506194e-131,6.122122898235643e-129
87,PTMA,24.28901,0.33392054,2.5614036715362217e-130,3.495562657625903e-128
88,UQCRQ,23.996294,0.7547223,3.039896157508674e-127,4.113992799828406e-125
89,SOX4,23.939886,0.5601821,1.177696121807444e-126,1.554941871394544e-124
90,ENO1,23.760813,0.8173642,8.49451690787728e-125,1.1036076366714162e-122
91,ATP5MG,23.743025,0.56238306,1.297045885412196e-124,1.6717480300868304e-122
92,RPL29,23.570719,0.37242103,7.698132852619833e-123,9.767006056761415e-121
93,NDUFB1,23.435076,0.8554598,1.876768440706804e-121,2.308993899778674e-119
94,CCNI,23.338932,0.46234944,1.785291240011233e-120,2.163666398341972e-118
95,COMMD6,23.05674,0.61503375,1.2588388081216836e-117,1.470758434812672e-115
96,GNAS,23.017946,0.39091265,3.0820641344348033e-117,3.5751943959443717e-115
97,RPL14,22.948914,0.40986452,1.510738985658465e-116,1.715692386510033e-114
98,BNIP3,22.68957,1.057831,5.678978237284021e-114,6.273918814523298e-112
99,IGFBP2,22.570547,1.1937543,8.439603361581923e-113,9.076765469674864e-111
100,RPL10,22.445417,0.354344,1.4186448234953131e-111,1.5058033943505808e-109
101,UQCR10,22.423624,0.6037153,2.31540857897806e-111,2.441703592376863e-109
102,RPL12,22.41488,0.43420276,2.8179547339392396e-111,2.952489347043435e-109
103,NDUFA3,22.18683,0.8846736,4.603218843051135e-109,4.761546115359901e-107
104,H3F3A,22.135172,0.29445988,1.4495833193178137e-108,1.4531625373902035e-106
105,RPL17,22.106808,0.3840368,2.71826695088567e-108,2.708261060268913e-106
106,RPL3,22.054333,0.3339022,8.680170765061873e-108,8.543392316642717e-106
107,COX6A1,21.911892,0.44029027,2.0009576253717484e-106,1.9458414273076165e-104
108,PET100,21.71975,0.8093146,1.3350712701184785e-104,1.27538573098377e-102
109,RPSA,21.712309,0.3612675,1.5697225269339178e-104,1.4907774173922119e-102
110,RPL13,21.689316,0.30116788,2.588115171717798e-104,2.4436622319009903e-102
111,RPL6,21.580029,0.35221767,2.766939620144799e-103,2.5974045913960428e-101
112,UQCRH,21.418123,0.48933747,9.056512780258347e-102,8.404443860079746e-100
113,NDUFA1,21.348326,0.78778267,4.041638668019183e-101,3.708260563199522e-99
114,NDUFS5,21.16412,0.47328058,2.0454815918087376e-99,1.8454789472763275e-97
115,COX5B,21.064726,0.5255187,1.675925898721812e-98,1.5037036792951507e-96
116,RPL18,20.812574,0.3085161,3.3297471478731097e-96,2.861116067802079e-94
117,C4orf3,20.789736,0.8585628,5.360462301484071e-96,4.5577962186440477e-94
118,PPDPF,20.627996,0.47740385,1.5389718040004591e-94,1.2882939225240957e-92
119,RPS7,20.547033,0.36745557,8.181394330502601e-94,6.813633021916013e-92
120,SEZ6L2,20.416656,0.6495458,1.18928975356129e-92,9.421495413578219e-91
121,RPL15,20.364016,0.2768412,3.487852825176259e-92,2.7496470815952643e-90
122,ATP5MF,19.931902,0.61135525,2.1522684057376487e-88,1.610729903648821e-86
123,RPS8,19.849054,0.32458806,1.1229304520913177e-87,8.289268428164999e-86
124,RACK1,19.738392,0.38971528,1.0093820991099787e-86,7.383948328624348e-85
125,COPS9,19.736872,0.68269956,1.0402273259083837e-86,7.575467162669127e-85
126,TUBA1A,19.690533,0.32315972,2.5994107084569644e-86,1.867895128554916e-84
127,NDUFB4,19.68152,0.6261108,3.1054972079699153e-86,2.221730161120327e-84
128,RPL5,19.544687,0.32125413,4.5779036257096517e-85,3.204532537996756e-83
129,JUND,19.486738,0.4922949,1.4226627193911699e-84,9.873522462783161e-83
130,RPL4,19.454224,0.47101495,2.6838379864222666e-84,1.8468444448939664e-82
131,ROMO1,19.290487,0.82962227,6.456278195796131e-83,4.2795901183562925e-81
132,UBC,19.138918,0.39404917,1.1972982136880524e-81,7.840372173505634e-80
133,RPS26,18.966717,0.48447555,3.213660118386721e-80,2.0710254096269979e-78
134,SNHG29,18.85327,0.45008507,2.7622718757732463e-79,1.766113986714863e-77
135,EEF1A1,18.523735,0.2988998,1.3288808057248214e-76,8.237032169836298e-75
136,PFDN5,18.520527,0.409925,1.4104749448962402e-76,8.709548709169179e-75
137,FTL,18.3419,0.29992655,3.831728793918718e-75,2.2710684530379555e-73
138,TPT1,18.297434,0.29767868,8.673959458793771e-75,5.103808029377204e-73
139,RPS5,18.205305,0.30292225,4.684395384787825e-74,2.716949323176938e-72
140,SUMO2,18.052443,0.29167745,7.547713161775566e-73,4.322490899802879e-71
141,SLIRP,17.995808,0.7072981,2.101348297348354e-72,1.1808268632850267e-70
142,MT-ND3,17.899872,0.42246848,1.1819534559568475e-71,6.484771663763244e-70
143,RPL10A,17.6947,0.3331767,4.606791890254088e-70,2.4529278786139795e-68
144,VDAC1,17.617079,0.50835097,1.8217202961361026e-69,9.605434288717632e-68
145,MARCKSL1,17.604485,0.2890298,2.2756713228314444e-69,1.1960162551062349e-67
146,NACA,17.447453,0.26960146,3.5992700169300864e-68,1.8674806733209138e-66
147,RAB3A,17.445684,0.5907487,3.712493988610736e-68,1.9200924323260624e-66
148,TUBB,17.445488,0.29909477,3.725291553384788e-68,1.9205947564117128e-66
149,FTH1,17.216764,0.26479176,1.9879844536979425e-66,9.903333597562756e-65
150,DDT,17.07753,0.68013245,2.181595158475655e-65,1.0671417281218264e-63
151,COX8A,16.98241,0.48542935,1.1083817194856231e-64,5.365687222237207e-63
152,ANKRD37,16.879892,1.1887025,6.32600312963519e-64,3.0039266323179964e-62
153,MRPL52,16.84383,0.7654963,1.1645065225495216e-63,5.497554048315183e-62
154,SRP14,16.83968,0.26451257,1.249106205694934e-63,5.879850661010357e-62
155,PTMS,16.838915,0.34790745,1.265374640709828e-63,5.9392150766264755e-62
156,ENO2,16.76211,0.5538617,4.6193060012717266e-63,2.1494994114800238e-61
157,TUBA1B,16.759659,0.47552547,4.8138430578451096e-63,2.2336231788401307e-61
158,SEM1,16.757826,0.68435085,4.964436174101e-63,2.2969357113219446e-61
159,TLCD3B,16.7285,0.7549525,8.125899332424797e-63,3.7383740838124284e-61
160,POLR2L,16.640211,0.79664695,3.5636439489518125e-62,1.6165803835468557e-60
161,RPLP0,16.629717,0.27605304,4.245924991565962e-62,1.9153839406397562e-60
162,TMEM256,16.442097,1.0014261,9.555546307820885e-61,4.19411005510841e-59
163,RPL7,16.41633,0.3207903,1.4614371114121055e-60,6.397234148068084e-59
164,SNRPD2,16.316978,0.5140077,7.474548150207523e-60,3.228368669132185e-58
165,MZT2B,16.260489,0.48887196,1.8823362846700044e-59,8.08707440821187e-58
166,MYL6B,16.11935,0.4769899,1.8656020257677617e-58,7.910542271140587e-57
167,POLR2I,16.041243,0.58256197,6.58235280619443e-58,2.762206965700195e-56
168,ATP5IF1,15.952777,0.40703592,2.725035329206949e-57,1.1376497107023354e-55
169,SLC25A6,15.898119,0.45616394,6.529618677411771e-57,2.698244461098401e-55
