,source,estimate,pvals,log10_pval
1,KEGG_ACUTE_MYELOID_LEUKEMIA,0.8343326,0.14644259,0.8343326
2,KEGG_ADHERENS_JUNCTION,1.6611468,0.021819923,1.6611468
3,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,2.6546133,0.0022150662,2.6546133
4,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.36932832,0.42723978,0.36932832
5,KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.3050254,0.4954212,0.3050254
9,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.1957712,0.6371311,0.1957712
10,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.520785,0.30144984,0.520785
11,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,2.4204051,0.003798349,2.4204051
12,KEGG_APOPTOSIS,0.6415068,0.22829333,0.6415068
15,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.3871153,0.4100952,0.3871153
19,KEGG_BASAL_CELL_CARCINOMA,0.520785,0.30144984,0.520785
20,KEGG_BASAL_TRANSCRIPTION_FACTORS,0.26433328,0.54408497,0.26433328
24,KEGG_BLADDER_CANCER,0.24669981,0.56663084,0.24669981
26,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,2.7838874,0.0016447981,2.7838874
27,KEGG_CARDIAC_MUSCLE_CONTRACTION,0.72276384,0.1893373,0.72276384
28,KEGG_CHRONIC_MYELOID_LEUKEMIA,1.6095784,0.024570929,1.6095784
31,KEGG_COLORECTAL_CANCER,4.035027,9.225143e-05,4.035027
32,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.38453624,0.4125378,0.38453624
33,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.3286616,0.46917883,0.3286616
34,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.31653327,0.482466,0.31653327
35,KEGG_DILATED_CARDIOMYOPATHY,0.6806647,0.20861009,0.6806647
37,KEGG_DORSO_VENTRAL_AXIS_FORMATION,1.0934682,0.08063654,1.0934682
41,KEGG_ENDOMETRIAL_CANCER,2.972014,0.0010665618,2.972014
42,KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,1.9232727,0.011932384,1.9232727
43,KEGG_ERBB_SIGNALING_PATHWAY,4.5720057,2.6791324e-05,4.5720057
44,KEGG_ETHER_LIPID_METABOLISM,0.45609793,0.34986627,0.45609793
45,KEGG_FATTY_ACID_METABOLISM,0.70042497,0.19933109,0.70042497
46,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,2.1316428,0.0073851137,2.1316428
47,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.52892095,0.2958551,0.52892095
51,KEGG_GAP_JUNCTION,0.072142325,0.8469498,0.072142325
52,KEGG_GLIOMA,1.9232727,0.011932384,1.9232727
55,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.12019806,0.7582317,0.12019806
67,KEGG_GNRH_SIGNALING_PATHWAY,0.56008595,0.27536836,0.56008595
69,KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.18370323,0.65508366,0.18370323
73,KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.7840321,0.16442503,0.7840321
74,KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.14360036,0.71845514,0.14360036
79,KEGG_LONG_TERM_DEPRESSION,0.42638153,0.37464374,0.42638153
80,KEGG_LONG_TERM_POTENTIATION,0.6806647,0.20861009,0.6806647
81,KEGG_LYSINE_DEGRADATION,2.3755674,0.00421146,2.3755674
83,KEGG_MELANOMA,1.3900856,0.04073,1.3900856
85,KEGG_MISMATCH_REPAIR,0.36932832,0.42723978,0.36932832
86,KEGG_MTOR_SIGNALING_PATHWAY,1.5597891,0.027555669,1.5597891
89,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.1901963,0.06453626,1.1901963
90,KEGG_NON_HOMOLOGOUS_END_JOINING,0.58159244,0.26206413,0.58159244
91,KEGG_NON_SMALL_CELL_LUNG_CANCER,0.92784846,0.118073255,0.92784846
92,KEGG_NOTCH_SIGNALING_PATHWAY,0.17253399,0.6721497,0.17253399
93,KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.17801201,0.6637247,0.17801201
98,KEGG_P53_SIGNALING_PATHWAY,0.72276384,0.1893373,0.72276384
99,KEGG_PANCREATIC_CANCER,1.2008901,0.06296656,1.2008901
100,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.58159244,0.26206413,0.58159244
101,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,1.035905,0.092065096,1.035905
104,KEGG_PEROXISOME,0.27950877,0.5254014,0.27950877
106,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.30626678,0.49400714,0.30626678
108,KEGG_PPAR_SIGNALING_PATHWAY,0.520785,0.30144984,0.520785
111,KEGG_PRION_DISEASES,1.0182391,0.095887244,1.0182391
112,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,1.3808173,0.04160856,1.3808173
114,KEGG_PROSTATE_CANCER,3.1741056,0.0006697215,3.1741056
115,KEGG_PROTEASOME,0.2021731,0.6278081,0.2021731
116,KEGG_PROTEIN_EXPORT,0.95126784,0.111874774,0.95126784
118,KEGG_PYRIMIDINE_METABOLISM,0.18318929,0.65585935,0.18318929
120,KEGG_REGULATION_OF_AUTOPHAGY,0.41794306,0.38199437,0.41794306
121,KEGG_RENAL_CELL_CARCINOMA,3.8264418,0.00014912763,3.8264418
125,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.0595698,0.08718267,1.0595698
126,KEGG_RNA_DEGRADATION,0.7681244,0.17055938,0.7681244
127,KEGG_RNA_POLYMERASE,0.29409125,0.5080527,0.29409125
128,KEGG_SELENOAMINO_ACID_METABOLISM,0.38453624,0.4125378,0.38453624
129,KEGG_SMALL_CELL_LUNG_CANCER,0.9917978,0.101906575,0.9917978
133,KEGG_STEROID_BIOSYNTHESIS,0.50021476,0.31607142,0.50021476
139,KEGG_TGF_BETA_SIGNALING_PATHWAY,1.0620868,0.08667885,1.0620868
140,KEGG_THYROID_CANCER,1.6243689,0.023748219,1.6243689
142,KEGG_TYPE_II_DIABETES_MELLITUS,1.2191051,0.06038024,1.2191051
147,KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,1.9180675,0.012076263,1.9180675
148,KEGG_VEGF_SIGNALING_PATHWAY,2.0235612,0.009471936,2.0235612
149,KEGG_VIBRIO_CHOLERAE_INFECTION,0.17253399,0.6721497,0.17253399
150,KEGG_VIRAL_MYOCARDITIS,0.62658983,0.23627086,0.62658983
151,REACTOME_2_LTR_CIRCLE_FORMATION,0.7893312,0.16243096,0.7893312
153,REACTOME_ABC_TRANSPORTER_DISORDERS,0.09278804,0.8076291,0.09278804
156,REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0.35499594,0.44157457,0.35499594
158,REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,1.2261717,0.05940572,1.2261717
162,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,1.6094909,0.02457588,1.6094909
165,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,0.7366539,0.1833775,0.7366539
167,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,0.7893312,0.16243096,0.7893312
