,source,estimate,pvals,log10_pval
1,KEGG_ACUTE_MYELOID_LEUKEMIA,0.13129748,0.73909885,0.13129748
2,KEGG_ADHERENS_JUNCTION,0.32073203,0.477824,0.32073203
3,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.12747155,0.7456387,0.12747155
6,KEGG_ALLOGRAFT_REJECTION,0.65030456,0.22371517,0.65030456
9,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,1.1092322,0.077762075,1.1092322
10,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.17253399,0.6721497,0.17253399
11,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.18370323,0.65508366,0.18370323
13,KEGG_ARACHIDONIC_ACID_METABOLISM,0.4363606,0.36613345,0.4363606
14,KEGG_ARGININE_AND_PROLINE_METABOLISM,0.18961896,0.646221,0.18961896
15,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.12019806,0.7582317,0.12019806
18,KEGG_AUTOIMMUNE_THYROID_DISEASE,0.61415786,0.24313201,0.61415786
24,KEGG_BLADDER_CANCER,0.70042497,0.19933109,0.70042497
26,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.4369439,0.36564204,0.4369439
27,KEGG_CARDIAC_MUSCLE_CONTRACTION,10.844147,1.43170475e-11,10.844147
28,KEGG_CHRONIC_MYELOID_LEUKEMIA,0.0902012,0.81245404,0.0902012
31,KEGG_COLORECTAL_CANCER,0.11339517,0.77020234,0.11339517
35,KEGG_DILATED_CARDIOMYOPATHY,0.32825822,0.4696148,0.32825822
38,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.4363606,0.36613345,0.4363606
41,KEGG_ENDOMETRIAL_CANCER,0.15727746,0.6961816,0.15727746
42,KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,1.314745,0.048445683,1.314745
43,KEGG_ERBB_SIGNALING_PATHWAY,0.06287643,0.86521405,0.06287643
46,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.459053,0.34749374,0.459053
47,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.52892095,0.2958551,0.52892095
49,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,4.2526736,5.5889006e-05,4.2526736
50,KEGG_GALACTOSE_METABOLISM,1.8303802,0.014778139,1.8303802
51,KEGG_GAP_JUNCTION,4.8258123,1.4934402e-05,4.8258123
52,KEGG_GLIOMA,0.3965078,0.4013213,0.3965078
53,KEGG_GLUTATHIONE_METABOLISM,0.6808724,0.20851035,0.6808724
57,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,11.081113,8.296351e-12,11.081113
67,KEGG_GNRH_SIGNALING_PATHWAY,0.56008595,0.27536836,0.56008595
68,KEGG_GRAFT_VERSUS_HOST_DISEASE,0.61415786,0.24313201,0.61415786
72,KEGG_HOMOLOGOUS_RECOMBINATION,0.3050254,0.4954212,0.3050254
73,KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.12019806,0.7582317,0.12019806
74,KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.44782966,0.35659096,0.44782966
76,KEGG_LEISHMANIA_INFECTION,0.2021731,0.6278081,0.2021731
79,KEGG_LONG_TERM_DEPRESSION,0.42638153,0.37464374,0.42638153
80,KEGG_LONG_TERM_POTENTIATION,0.6806647,0.20861009,0.6806647
83,KEGG_MELANOMA,0.13525689,0.7323912,0.13525689
84,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.40070742,0.3974592,0.40070742
86,KEGG_MTOR_SIGNALING_PATHWAY,0.9691429,0.107363604,0.9691429
91,KEGG_NON_SMALL_CELL_LUNG_CANCER,0.15255386,0.70379496,0.15255386
92,KEGG_NOTCH_SIGNALING_PATHWAY,0.520785,0.30144984,0.520785
93,KEGG_NUCLEOTIDE_EXCISION_REPAIR,1.6559315,0.02208353,1.6559315
94,KEGG_N_GLYCAN_BIOSYNTHESIS,0.9691429,0.107363604,0.9691429
99,KEGG_PANCREATIC_CANCER,0.35209578,0.44453323,0.35209578
101,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,7.09845,7.9716784e-08,7.09845
103,KEGG_PENTOSE_PHOSPHATE_PATHWAY,3.751471,0.00017722658,3.751471
104,KEGG_PEROXISOME,0.5933977,0.2550365,0.5933977
105,KEGG_PHENYLALANINE_METABOLISM,0.61415786,0.24313201,0.61415786
106,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.0902012,0.81245404,0.0902012
107,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0.40070742,0.3974592,0.40070742
108,KEGG_PPAR_SIGNALING_PATHWAY,1.622943,0.02382632,1.622943
111,KEGG_PRION_DISEASES,1.0182391,0.095887244,1.0182391
112,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.06827036,0.85453457,0.06827036
114,KEGG_PROSTATE_CANCER,0.06641906,0.85818505,0.06641906
115,KEGG_PROTEASOME,2.5633483,0.002733076,2.5633483
116,KEGG_PROTEIN_EXPORT,2.630297,0.002342626,2.630297
118,KEGG_PYRIMIDINE_METABOLISM,1.1408384,0.07230389,1.1408384
119,KEGG_PYRUVATE_METABOLISM,0.2553155,0.55550057,0.2553155
120,KEGG_REGULATION_OF_AUTOPHAGY,1.0934682,0.08063654,1.0934682
121,KEGG_RENAL_CELL_CARCINOMA,1.7149528,0.019277342,1.7149528
124,KEGG_RIBOSOME,inf,0.0,inf
126,KEGG_RNA_DEGRADATION,1.8603094,0.013794012,1.8603094
127,KEGG_RNA_POLYMERASE,2.3090093,0.0049089734,2.3090093
132,KEGG_STARCH_AND_SUCROSE_METABOLISM,1.8303802,0.014778139,1.8303802
133,KEGG_STEROID_BIOSYNTHESIS,0.50021476,0.31607142,0.50021476
136,KEGG_TASTE_TRANSDUCTION,0.41794306,0.38199437,0.41794306
139,KEGG_TGF_BETA_SIGNALING_PATHWAY,0.08769385,0.8171582,0.08769385
140,KEGG_THYROID_CANCER,0.3286616,0.46917883,0.3286616
142,KEGG_TYPE_II_DIABETES_MELLITUS,1.2191051,0.06038024,1.2191051
143,KEGG_TYPE_I_DIABETES_MELLITUS,0.4363606,0.36613345,0.4363606
144,KEGG_TYROSINE_METABOLISM,0.36932832,0.42723978,0.36932832
147,KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.22302268,0.5983803,0.22302268
148,KEGG_VEGF_SIGNALING_PATHWAY,0.42638153,0.37464374,0.42638153
149,KEGG_VIBRIO_CHOLERAE_INFECTION,4.9360695,1.1585922e-05,4.9360695
150,KEGG_VIRAL_MYOCARDITIS,1.1901963,0.06453626,1.1901963
153,REACTOME_ABC_TRANSPORTER_DISORDERS,3.6808257,0.00020853279,3.6808257
154,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.40070742,0.3974592,0.40070742
155,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,0.47731784,0.33318248,0.47731784
156,REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,2.630297,0.002342626,2.630297
158,REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.47731784,0.33318248,0.47731784
160,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,3.0222318,0.0009500977,3.0222318
169,REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,2.7832685,0.001647144,2.7832685
170,REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,6.4657874,3.4214702e-07,6.4657874
171,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,1.5001203,0.031614017,1.5001203
