,names,scores,logfoldchanges,pvals,pvals_adj
0,TPI1,22.710808,0.70476943,3.5034846577029e-114,1.81889921990977e-110
1,RPL41,20.986553,0.32021156,8.703145873513213e-98,2.3556514830975763e-94
2,ENO1,20.93662,0.7307632,2.484718259682125e-97,5.76454636246253e-94
3,HK2,20.832493,1.8963572,2.197207518354058e-96,4.460331262258738e-93
4,MIF,20.686073,0.3935015,4.6236688049719807e-95,8.343153488082773e-92
5,FAM162A,20.154026,1.1087575,2.480884233511472e-90,4.02895599522263e-87
6,RPL37A,20.130869,0.3177897,3.95995013162133e-90,5.846326376139127e-87
7,BNIP3,19.718987,0.95044947,1.4816561269887288e-86,2.005174625191413e-83
8,PGK1,19.671648,0.7389456,3.7731352379892236e-86,4.7135166357649995e-83
9,PDK1,18.71057,1.1409268,4.0601888080615245e-78,4.709819017351368e-75
10,RPLP2,18.402775,0.34845802,1.248086979329267e-75,1.3512621696204864e-72
11,PGAM1,18.326555,0.6537758,5.080760535445638e-75,5.156971943477323e-72
12,RPS28,18.207218,0.34294418,4.52359273541073e-74,4.321361530768839e-71
13,SCD,18.023624,0.9760824,1.2713668432172272e-72,1.1470554185470983e-69
14,BNIP3L,17.959581,0.5399154,4.0383514042638554e-72,3.4517277265918426e-69
15,ANKRD37,17.567928,1.3256361,4.3372582933043886e-69,3.354146413488727e-66
16,RPL21,17.409996,0.29166776,6.928929362445277e-68,5.1148096748232405e-65
17,RPL39,17.025278,0.31744272,5.333883422286371e-65,3.7661855120839424e-62
18,HK1,16.90884,0.833936,3.872507498552453e-64,2.6203967406871595e-61
19,TTC3,16.793966,0.25821003,2.701680392556593e-63,1.7550115830047627e-60
20,IGFBP2,16.697613,0.91167194,1.3641230408226708e-62,8.520522378061605e-60
21,SEC61G,16.532082,0.51941645,2.155714796917252e-61,1.2966225297013398e-58
22,RPLP1,16.483894,0.24894358,4.789792576285108e-61,2.7780796942453624e-58
23,DPYSL2,16.274883,0.42979053,1.488018140617982e-59,8.332901587460699e-57
24,RPL34,15.867038,0.27020875,1.0718128729106684e-56,5.61491646969976e-54
25,RPL38,15.687653,0.29201594,1.8372476925112775e-55,9.041485614055499e-53
26,RPS21,15.684353,0.35030118,1.9352475210530453e-55,9.243652865265135e-53
27,ENO2,15.526308,0.5186762,2.3026000364317356e-54,1.0387284608792051e-51
28,C4orf3,15.287591,0.64578307,9.25092188632625e-53,3.9535518798404816e-50
29,RPS29,15.155238,0.26521978,6.996122087016444e-52,2.9132569921319758e-49
30,TMSB10,15.14442,0.29170024,8.247903245165476e-52,3.348648717537183e-49
31,VDAC1,15.110137,0.45837608,1.3885159738200814e-51,5.368928432104315e-49
32,HIST1H1E,14.97858,0.6285678,1.0135856262161053e-50,3.828053620871988e-48
33,P4HA1,14.896642,0.9618455,3.465663639663221e-50,1.279144943366607e-47
34,RNMT,14.199665,0.49765593,9.205154636803203e-46,3.1144106521184167e-43
35,RPS15A,14.008031,0.23588729,1.3921081744269988e-44,4.613844235243768e-42
36,RPL37,13.903251,0.2567107,6.052901742373158e-44,1.927433809728237e-41
37,PFKP,13.836093,0.7674594,1.5437154718328452e-43,4.730177219351964e-41
38,HILPDA,13.782992,1.0326583,3.226155558384609e-43,9.702364123734454e-41
39,YBX1,13.780173,0.2428495,3.3546611592336634e-43,9.905399495628126e-41
40,RPL36,13.609716,0.2711558,3.5060127560452853e-42,1.0167436992531327e-39
41,RPS8,13.596641,0.22404744,4.1925306317318206e-42,1.1874272963231586e-39
42,RBPJ,13.595803,0.63391304,4.240811772582709e-42,1.1874272963231586e-39
43,RPL36A,13.561999,0.3266668,6.727672040735659e-42,1.8518202362974084e-39
44,PTMA,13.465402,0.19229722,2.4995647827530117e-41,6.547247108372404e-39
45,YWHAH,13.2861595,0.39693555,2.785117864311263e-40,7.179414939113478e-38
46,RPS19,13.226112,0.21130642,6.2013161816167305e-40,1.549374996760857e-37
47,RPL35A,13.19713,0.21297988,9.114110493911325e-40,2.2426235518351503e-37
48,RPL35,13.172481,0.23387614,1.2637641383619906e-39,3.0632133741789144e-37
49,PTMS,13.135888,0.2864123,2.0507073008255638e-39,4.897571553736347e-37
50,HIST1H1C,13.061581,0.8239475,5.458279546437901e-39,1.284673330929732e-36
51,RPL23A,12.95302,0.25378412,2.2589062810137156e-38,5.1668504230510904e-36
52,GAPDH,12.944153,0.2729351,2.535457409955287e-38,5.7188650468991476e-36
53,RPL27,12.725682,0.28603756,4.257377543590204e-37,9.471207028480125e-35
54,RPS15,12.722107,0.21257141,4.456771341058744e-37,9.780806294431621e-35
55,RPS25,12.719789,0.24036716,4.591026789265795e-37,9.941103341023533e-35
56,RPS12,12.685883,0.20781042,7.081146747359918e-37,1.513129252330593e-34
57,C4orf48,12.642824,0.32472557,1.2257079588258258e-36,2.5851295131599235e-34
58,VEGFA,12.58057,0.7461714,2.7007194461279878e-36,5.5518587095086735e-34
59,PKM,12.497927,0.4197222,7.66235669087267e-36,1.5362552180218786e-33
60,ATP5F1E,12.382706,0.26902595,3.242256257216895e-35,6.421248977707606e-33
61,RPS27,12.310379,0.22489256,7.964791947667574e-35,1.504049084071179e-32
62,RPL32,12.308224,0.19076586,8.180360150471017e-35,1.5270005614212565e-32
63,GPI,12.260998,0.61215556,1.4668327966722392e-34,2.706973252040587e-32
64,RPS13,12.208561,0.20976752,2.79794259709184e-34,5.10545930076084e-32
65,ANKRD12,12.202554,0.33331046,3.012245453197767e-34,5.435429573325748e-32
66,KDM3A,11.871948,0.6413589,1.6556671691922273e-32,2.922612481269758e-30
67,MXI1,11.850894,0.50429535,2.1290761738360019e-32,3.6783188364996456e-30
68,INSIG2,11.672827,0.7854013,1.7549403914033836e-31,2.968774162124057e-29
69,HIST1H4C,11.370384,0.4805619,5.872818296412814e-30,9.633794861994355e-28
70,TOMM7,11.1881695,0.3401118,4.6595198922900244e-29,7.567060305079e-27
71,HNRNPA3,11.104382,0.31997862,1.1944098344570592e-28,1.9016878148610433e-26
72,WDR45B,11.0960865,0.6247512,1.310573229037814e-28,2.066379537822728e-26
73,RPL22,11.092491,0.22179352,1.3643489605699276e-28,2.1304833768899637e-26
74,DDIT4,11.028071,0.60566837,2.798002588305999e-28,4.327577336579945e-26
75,ELOB,10.947583,0.23655531,6.82441620526046e-28,1.0455520676738668e-25
76,UBC,10.940851,0.23780751,7.350652580156511e-28,1.1156504476798291e-25
77,MSMO1,10.7489,0.5134709,5.9971986409839026e-27,8.823973950648442e-25
78,SLC2A3,10.74838,0.89813703,6.031164461342224e-27,8.823973950648442e-25
79,RPS24,10.637766,0.17961694,1.9883996945979394e-26,2.857664693829251e-24
80,RPL23,10.626652,0.21965435,2.2401206726165765e-26,3.1911894494116844e-24
81,SAMD1,10.526671,0.5536029,6.509558971953937e-26,9.113382560735511e-24
82,INSIG1,10.425548,1.044016,1.895637301879573e-25,2.6089109985190056e-23
83,RPS20,10.325742,0.2553578,5.390051775018525e-25,7.234251307958748e-23
84,ZNF292,10.294952,0.31235498,7.425647921600241e-25,9.884632971048189e-23
85,AK4,10.254345,0.98461694,1.1314007193552536e-24,1.493816884742221e-22
86,STARD4,10.1867485,0.8108535,2.272364333943369e-24,2.9522557426592245e-22
87,H1FX,10.152221,0.33197993,3.239086527946324e-24,4.164124995086132e-22
88,NEAT1,10.151699,0.57554203,3.2564277978813965e-24,4.164124995086132e-22
89,RPL30,10.143486,0.16340418,3.5422797126648215e-24,4.4942673854434925e-22
90,OST4,10.074868,0.3412394,7.135639703931663e-24,8.983161921848854e-22
91,FAU,9.985216,0.14846453,1.7691449330956606e-23,2.1931995201124833e-21
92,THRA,9.919388,0.43816274,3.428538596783848e-23,4.1864260760729086e-21
93,STARD4-AS1,9.854437,0.34078324,6.558326420017775e-23,7.889423782302864e-21
94,RPL31,9.850024,0.24713905,6.852774974187471e-23,8.183019528000334e-21
95,RPL24,9.761567,0.15935661,1.645916439817764e-22,1.9092630701886064e-20
96,WSB1,9.569658,0.29866642,1.0726005822704024e-21,1.2181142276972962e-19
97,HMGCS1,9.566287,0.5144676,1.1081434995291986e-21,1.2497396133579295e-19
98,CBX5,9.445171,0.24625516,3.5482426878332765e-21,3.97403181037327e-19
99,CREBRF,9.400969,0.67015517,5.406319125651194e-21,6.013604287710643e-19
100,RPS10,9.277104,0.3164126,1.74146280727039e-20,1.8729374827861676e-18
101,SERF2,9.2585535,0.22843455,2.0722080492937194e-20,2.2139907052980264e-18
102,PEG10,9.170638,0.37180573,4.702268480629818e-20,4.926763879059886e-18
103,ALKBH5,9.114371,0.5595215,7.912820645336128e-20,8.23744918463197e-18
104,MT3,8.895196,0.83473575,5.831621551970941e-19,5.919095875250506e-17
105,TUT4,8.890364,0.25938416,6.090895142131982e-19,6.143859447715739e-17
106,KDM7A,8.768605,0.80429363,1.8089352052728822e-18,1.7912870569287564e-16
107,ALDOC,8.705677,1.0116011,3.156843618086271e-18,3.069888644174913e-16
108,KCNQ1OT1,8.700426,0.37667957,3.3063966858988442e-18,3.177271134851907e-16
109,RPS18,8.689649,0.13142669,3.63561276122391e-18,3.473079484839783e-16
110,PJA2,8.677778,0.22464287,4.035742957330042e-18,3.832775767663151e-16
111,GOLGA8A,8.605453,0.62769043,7.601641497303483e-18,7.09486539748325e-16
112,RPS16,8.587054,0.15426493,8.922764808119378e-18,8.280325741934782e-16
113,YEATS2,8.526138,0.49850848,1.513138113335986e-17,1.3805260090211468e-15
114,RIOK3,8.507557,0.35346153,1.7763701347045428e-17,1.611634133385574e-15
115,PTGES3,8.4535265,0.23640637,2.826336866183117e-17,2.5358956191609845e-15
116,COX7B,8.383499,0.25841925,5.1377163828327314e-17,4.510081840929922e-15
117,COX7C,8.346059,0.17608011,7.057863743577976e-17,6.162349849231523e-15
118,COX7A2,8.344986,0.18581149,7.122217930258628e-17,6.1852844485240714e-15
119,SEPTIN7,8.330664,0.17683934,8.039017024088245e-17,6.944342365488995e-15
120,SET,8.263139,0.15188688,1.418906198529309e-16,1.2001581595893738e-14
121,HIST1H2BD,8.250871,0.88456917,1.5724512429885526e-16,1.3231403205250826e-14
122,YWHAE,8.222277,0.16315018,1.9967540214391604e-16,1.662937708111383e-14
123,RPS23,8.197586,0.13563426,2.4526240647780274e-16,2.0321742251017942e-14
124,SLC2A1,8.162046,0.9403887,3.2939658067453708e-16,2.7017174091689305e-14
125,RPL26,8.135956,0.1453536,4.087018899966055e-16,3.318659346772437e-14
126,FDFT1,8.061627,0.35075495,7.528554863194289e-16,5.993320145993885e-14
127,PFKFB3,8.046917,0.6874459,8.4905916977930895e-16,6.726205325471208e-14
128,RPL18A,8.041963,0.12948765,8.841118669962233e-16,6.969891611659546e-14
129,MORF4L1,8.031379,0.16453283,9.638321614937966e-16,7.525304953201565e-14
130,CCNI,7.965162,0.1777061,1.6500797371831475e-15,1.2700139778130007e-13
131,AUXG01000058.1,7.922583,0.3702857,2.3262637645435834e-15,1.7653515671115792e-13
132,RPS17,7.87171,0.17350297,3.4982715389548185e-15,2.642415339191919e-13
133,RBM33,7.833841,0.40666813,4.731884942603071e-15,3.557676456846013e-13
134,SPRY1,7.809201,0.9547664,5.755178839937648e-15,4.307101583437207e-13
135,FOXO3,7.790966,0.50543106,6.649883944038079e-15,4.953858497760477e-13
136,AP2B1,7.7716894,0.25556803,7.744629821253784e-15,5.691076393536717e-13
137,SNRNP70,7.7371197,0.33210966,1.0169427482169e-14,7.40589696459303e-13
138,RPL11,7.7029796,0.1155071,1.3292984868217487e-14,9.596115853487507e-13
139,RSRC2,7.691875,0.2581293,1.449941978065519e-14,1.0419052090169923e-12
140,SBK1,7.681118,0.29903027,1.577060556814146e-14,1.1282583014388428e-12
141,UQCRQ,7.6700444,0.25779593,1.7193682974809005e-14,1.2246728575039397e-12
142,MRPL17,7.6324716,0.54013664,2.302952413469713e-14,1.61904533310598e-12
143,CHD4,7.6027136,0.25393888,2.8998465110273555e-14,1.9870678202145254e-12
144,CSDE1,7.579167,0.18618825,3.4778115053903885e-14,2.3631656421564814e-12
145,OPTN,7.5746207,0.35872376,3.6017789683870494e-14,2.43720376860857e-12
146,YWHAZ,7.5462317,0.1981233,4.480321710953661e-14,3.019104754601139e-12
147,HMGCR,7.544536,0.36097044,4.539004201235706e-14,3.0460094309118953e-12
148,PAIP2,7.5353727,0.23583965,4.869419913015277e-14,3.2277297709129837e-12
149,TET1,7.4998636,0.42479008,6.388435705874619e-14,4.166594211381679e-12
150,PHF3,7.4678683,0.32755014,8.150434922180056e-14,5.294522525448164e-12
151,RLF,7.434157,0.35505864,1.0523694235662184e-13,6.781936285204518e-12
152,SNRPD2,7.4056044,0.2468371,1.30554395023417e-13,8.282044434298017e-12
153,RPL27A,7.385102,0.120186396,1.5233671115510556e-13,9.551923510266078e-12
154,UQCRB,7.3781962,0.17669383,1.6044846850889787e-13,1.0021858186863465e-11
155,IDI1,7.3452916,0.30893996,2.0531062112063798e-13,1.2774883091950808e-11
156,DBP,7.344025,0.8203238,2.0726420827986025e-13,1.284721657429363e-11
157,HCFC1R1,7.3262806,0.39597586,2.366279193544508e-13,1.4556202311804095e-11
158,TMEM256,7.3154626,0.4958054,2.564965647397565e-13,1.5659790268321974e-11
159,MAP1B,7.302693,0.13552123,2.8206434123283825e-13,1.7156273039780126e-11
160,RPL14,7.2763367,0.1220915,3.4300652900650275e-13,2.0707903461210425e-11
161,SNHG6,7.259941,0.22944507,3.8725958928659564e-13,2.3292947148201158e-11
162,TMA7,7.2488775,0.21656318,4.20239999620828e-13,2.518338595513744e-11
163,HDGFL3,7.214686,0.1876777,5.405859088230372e-13,3.215793098639606e-11
164,RPL28,7.2007113,0.1311188,5.989935665302911e-13,3.5502392410408496e-11
165,RPS27A,7.1918645,0.094232254,6.391249313332827e-13,3.7743232308554584e-11
166,EGLN1,7.160891,0.39918315,8.015446649240398e-13,4.665621992246024e-11
167,KIF1B,7.129907,0.21042196,1.0043673513077812e-12,5.804599923572373e-11
168,RPL4,7.0989847,0.18838327,1.256768560241869e-12,7.237560786641117e-11
169,MXD1,7.0730677,0.6107572,1.5154552331213343e-12,8.665842600665659e-11
170,BBX,7.044321,0.40084994,1.863679142232957e-12,1.0545696609708439e-10
171,SEZ6L2,7.008863,0.23095834,2.4026272459813396e-12,1.3454712577495502e-10
172,SHOC2,7.0065236,0.37003723,2.4431246151514806e-12,1.3634482388336785e-10
173,CHD3,6.984121,0.40603116,2.8664528655245934e-12,1.5887779705160202e-10
174,SPTBN1,6.9670916,0.25428164,3.2356025595342456e-12,1.7752089718525728e-10
175,GOLGA8B,6.9506035,0.40241912,3.6372660482099622e-12,1.9821879403667714e-10
176,NAMPT,6.9475083,0.5338737,3.717942662024469e-12,2.0059597618364577e-10
177,SYT13,6.908924,0.37486884,4.883430778291007e-12,2.608780126297564e-10
178,PRRC2B,6.9077187,0.24088949,4.925094110065742e-12,2.6224107654907426e-10
179,FAM210A,6.8810153,0.53620803,5.942750317313242e-12,3.1334501673106184e-10
180,ZDBF2,6.840919,0.37143224,7.868665675262034e-12,4.1221655021372717e-10
181,RAB3A,6.8201714,0.23844126,9.093198022122973e-12,4.718004341190961e-10
