,source,estimate,pvals,log10_pval
1,KEGG_ACUTE_MYELOID_LEUKEMIA,0.2553155,0.55550057,0.2553155
2,KEGG_ADHERENS_JUNCTION,1.0839992,0.08241397,1.0839992
3,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.9838195,0.10379597,0.9838195
7,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,2.0185285,0.009582341,2.0185285
10,KEGG_APOPTOSIS,0.27378085,0.5323768,0.27378085
12,KEGG_ARGININE_AND_PROLINE_METABOLISM,0.34146273,0.45555127,0.34146273
15,KEGG_BASAL_CELL_CARCINOMA,0.45609793,0.34986627,0.45609793
17,KEGG_BASE_EXCISION_REPAIR,0.47731784,0.33318248,0.47731784
19,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.58159244,0.26206413,0.58159244
20,KEGG_BLADDER_CANCER,0.4363606,0.36613345,0.4363606
21,KEGG_BUTANOATE_METABOLISM,0.41794306,0.38199437,0.41794306
22,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.6808724,0.20851035,0.6808724
23,KEGG_CARDIAC_MUSCLE_CONTRACTION,6.0269938,9.397373e-07,6.0269938
24,KEGG_CHRONIC_MYELOID_LEUKEMIA,0.2021731,0.6278081,0.2021731
25,KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.7366539,0.1833775,0.7366539
27,KEGG_COLORECTAL_CANCER,0.7207842,0.19020231,0.7207842
28,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.47731784,0.33318248,0.47731784
30,KEGG_DILATED_CARDIOMYOPATHY,0.74200344,0.18113258,0.74200344
31,KEGG_DNA_REPLICATION,0.50021476,0.31607142,0.50021476
36,KEGG_ENDOMETRIAL_CANCER,1.2801493,0.0524627,1.2801493
38,KEGG_ERBB_SIGNALING_PATHWAY,0.14799733,0.7112179,0.14799733
41,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.7641411,0.17213094,0.7641411
42,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,1.035905,0.092065096,1.035905
43,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,8.295212,5.067433e-09,8.295212
44,KEGG_GALACTOSE_METABOLISM,2.7865322,0.0016348122,2.7865322
45,KEGG_GAP_JUNCTION,1.162283,0.06882037,1.162283
46,KEGG_GLIOMA,0.23057549,0.5880639,0.23057549
51,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,14.252496,5.5911857e-15,14.252496
59,KEGG_GNRH_SIGNALING_PATHWAY,0.6808724,0.20851035,0.6808724
60,KEGG_HEDGEHOG_SIGNALING_PATHWAY,1.3920043,0.040550455,1.3920043
64,KEGG_INOSITOL_PHOSPHATE_METABOLISM,1.9519101,0.011170944,1.9519101
65,KEGG_LEISHMANIA_INFECTION,0.40070742,0.3974592,0.40070742
67,KEGG_LONG_TERM_DEPRESSION,0.83674616,0.145631,0.83674616
68,KEGG_LONG_TERM_POTENTIATION,1.162283,0.06882037,1.162283
69,KEGG_LYSINE_DEGRADATION,0.7641411,0.17213094,0.7641411
70,KEGG_MELANOMA,0.2836889,0.52036864,0.2836889
73,KEGG_MTOR_SIGNALING_PATHWAY,2.1994476,0.006317603,2.1994476
74,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.61415786,0.24313201,0.61415786
75,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.41794306,0.38199437,0.41794306
77,KEGG_NON_SMALL_CELL_LUNG_CANCER,0.7872617,0.16320682,0.7872617
78,KEGG_NOTCH_SIGNALING_PATHWAY,1.0182391,0.095887244,1.0182391
79,KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.3286616,0.46917883,0.3286616
80,KEGG_N_GLYCAN_BIOSYNTHESIS,0.34146273,0.45555127,0.34146273
83,KEGG_O_GLYCAN_BIOSYNTHESIS,0.7366539,0.1833775,0.7366539
84,KEGG_P53_SIGNALING_PATHWAY,0.7641411,0.17213094,0.7641411
85,KEGG_PANCREATIC_CANCER,2.1479602,0.007112789,2.1479602
87,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.86327815,0.13700041,0.86327815
88,KEGG_PENTOSE_PHOSPHATE_PATHWAY,3.2572465,0.0005530361,3.2572465
90,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.81143695,0.15437005,0.81143695
92,KEGG_PPAR_SIGNALING_PATHWAY,2.7046988,0.0019737915,2.7046988
95,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.57804745,0.264212,0.57804745
96,KEGG_PROPANOATE_METABOLISM,0.36932832,0.42723978,0.36932832
97,KEGG_PROSTATE_CANCER,0.520785,0.30144984,0.520785
99,KEGG_PROTEIN_EXPORT,1.2261717,0.05940572,1.2261717
101,KEGG_PYRIMIDINE_METABOLISM,0.41612953,0.3835928,0.41612953
102,KEGG_PYRUVATE_METABOLISM,1.0547158,0.088162564,1.0547158
104,KEGG_RENAL_CELL_CARCINOMA,2.3755674,0.00421146,2.3755674
106,KEGG_RIBOSOME,inf,0.0,inf
107,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.41794306,0.38199437,0.41794306
108,KEGG_RNA_DEGRADATION,0.6620779,0.21773192,0.6620779
109,KEGG_RNA_POLYMERASE,0.45609793,0.34986627,0.45609793
111,KEGG_SMALL_CELL_LUNG_CANCER,0.26433328,0.54408497,0.26433328
113,KEGG_SPHINGOLIPID_METABOLISM,0.5520306,0.2805236,0.5520306
114,KEGG_STARCH_AND_SUCROSE_METABOLISM,3.9556038,0.000110763394,3.9556038
115,KEGG_STEROID_BIOSYNTHESIS,3.6371136,0.0002306144,3.6371136
117,KEGG_TASTE_TRANSDUCTION,1.6094909,0.02457588,1.6094909
119,KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,2.7865322,0.0016348122,2.7865322
123,KEGG_TYPE_II_DIABETES_MELLITUS,1.9519101,0.011170944,1.9519101
125,KEGG_TYROSINE_METABOLISM,0.7366539,0.1833775,0.7366539
127,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.27378085,0.5323768,0.27378085
128,KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,1.0182391,0.095887244,1.0182391
129,KEGG_VEGF_SIGNALING_PATHWAY,1.4550161,0.035073888,1.4550161
130,KEGG_VIBRIO_CHOLERAE_INFECTION,1.3459508,0.04508677,1.3459508
131,KEGG_VIRAL_MYOCARDITIS,0.50021476,0.31607142,0.50021476
133,REACTOME_ABC_TRANSPORTER_DISORDERS,0.7840321,0.16442503,0.7840321
136,REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0.40070742,0.3974592,0.40070742
137,REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.61415786,0.24313201,0.61415786
