,names,scores,logfoldchanges,pvals,pvals_adj
0,HIST1H1E,50.758415,3.0465825,0.0,0.0
1,EIF4G2,41.22176,0.85184175,0.0,0.0
2,MT-ATP8,38.03207,1.8468908,0.0,0.0
3,PJA2,37.357212,1.1427903,1.9362867185851311e-305,2.6204413591518774e-302
4,MAP2,34.147476,0.8474267,1.457592884011776e-255,1.3924299080206614e-252
5,TOP2B,34.078056,1.211253,1.5594510067348632e-254,1.4069713527430099e-251
6,NORAD,33.05047,1.1018045,1.5316911212765067e-239,1.2437331904765235e-236
7,SNHG14,32.992695,0.957507,1.033810312967948e-238,7.994799753618798e-236
8,TUT4,32.84876,1.1034348,1.1864423050885117e-236,8.377314362885839e-234
9,MT-ND6,31.848259,1.4839906,1.3914311995765327e-222,8.369200993008478e-220
10,HNRNPU,31.238274,0.9401508,3.221706633453799e-214,1.8041557147341277e-211
11,KIF2A,30.579298,1.1300871,2.3072056819667604e-205,1.2086780733916189e-202
12,KDM1A,30.546413,0.99788934,6.309927141264385e-205,3.2022880241916757e-202
13,KIDINS220,30.507423,0.8701718,2.07731921231378e-204,1.022292848726539e-201
14,CBX5,30.42249,0.8001235,2.7698264627291e-203,1.3229994633741347e-200
15,TTC3,29.7706,0.4759528,9.387532640732012e-195,3.909064873986869e-192
16,DDX3X,29.560526,1.0341114,4.809724380695437e-192,1.9051200961583876e-189
17,CEP170,29.405556,0.8822227,4.663110883015804e-190,1.7611376916320154e-187
18,SPAG9,29.368511,1.0461459,1.3868081141013722e-189,5.118582675683246e-187
19,KCNQ1OT1,29.278307,1.4353031,1.9592729108043214e-188,6.9170852329265614e-186
20,MT-ND4L,29.245275,0.72199905,5.1564738971948824e-188,1.7817262997967e-185
21,PAFAH1B1,28.936724,0.8548232,4.1229427501226337e-184,1.3391318052398313e-181
22,PRRC2B,28.450054,1.0222738,4.8654660788211335e-178,1.54931704156971e-175
23,CD46,28.201803,1.1452678,5.557248764989191e-175,1.7028249045929144e-172
24,DDX6,27.884232,0.9054186,4.1443953146102005e-171,1.2018746412369581e-168
25,ZNF91,27.870178,1.1772174,6.135058210308521e-171,1.7479534269370243e-168
26,KIF1B,27.811913,0.83728355,3.1132351856166953e-170,8.569311765155107e-168
27,ATXN7L3B,27.730312,0.76695466,3.010682394686839e-169,7.88604549834101e-167
28,PCLO,27.728039,1.2717241,3.206879493117658e-169,8.266622693369963e-167
29,CANX,27.669216,0.9389949,1.6390797340918388e-168,4.1591648252580414e-166
30,SPTBN1,27.640617,1.0799639,3.6184974518193505e-168,9.04067671039173e-166
31,SPTAN1,27.605377,0.91655725,9.59025657373376e-168,2.3597843448096403e-165
32,ATP6V0A1,27.544437,1.1341609,5.1592498005039476e-167,1.2142929965244073e-164
33,GRIA2,27.531935,1.0955268,7.282806943246143e-167,1.689611210833105e-164
34,NCL,27.283594,0.6740102,6.6411873597073835e-164,1.5190546862203932e-161
35,KMT2A,26.88062,0.9915102,3.7010119384515835e-159,8.013924517393828e-157
36,KIAA0232,26.829767,1.1244885,1.4528839905748922e-158,3.064264416485227e-156
37,HNRNPA3,26.710924,0.77745163,3.5144209242883866e-157,7.224581748157391e-155
38,SPAST,26.542278,1.2475064,3.1533327914924923e-155,6.322237596770133e-153
39,SRGAP3,26.323307,1.0163485,1.037687344945045e-152,2.0303665640852448e-150
40,HNRNPA2B1,26.31096,0.70953083,1.4367233224906656e-152,2.77766509014862e-150
41,CAND1,26.246622,1.1349031,7.811128118852478e-152,1.4923849488254619e-149
